CATEGORIA_ESTANDAR,NOMBRE DE LAS PREPARACIONES,Prom_Agua,Prom_Energa,Prom_Grasa,Prom_Protenas,categoria_general
chupe_de_pescado,Chupe de pescado,25.0,48.4,1.3,2.4,chupe
chupe_de_pollo,Chupe de pollo,20.2,36.0,0.9,2.8,chupe
chupe_de_trigo,Chupe de trigo,12.0,16.0,0.3,0.6,chupe
chupe_mixto,Chupe mixto,13.0,15.0,0.4,1.4,chupe
churrasco_con_arroz,Churrasco con arroz,36.8,100.0,0.7,3.8,churrasco
churrasco_con_frejoles_y_arroz,Churrasco con frejoles y arroz,20.7,171.0,6.4,10.9,churrasco
churrasco_con_papas_fritas_con,Churrasco con papas fritas con ensalada y arroz,45.2,156.0,4.3,4.6,churrasco
combinado_de_pollo,Combinado de pollo,31.43,163.25,1.35,5.63,combinado
combinado_de_res,Combinado de res,31.4,151.0,3.8,4.5,combinado
combinado_de_tallarin_rojo_con,Combinado de tallarín rojo con frejoles y arroz,36.2,193.0,3.6,10.4,combinado
consome_de_pollo,Consomé de pollo,13.7,30.0,1.1,2.6,consome
cordero_a_la_nortena_con_frejo,Cordero a la norteña con frejoles y arroz,13.87,165.33,4.8,8.83,cordero
costillas_barbiquiu_con_arroz_,Costillas barbiquiu con arroz y camote,33.0,190.0,8.2,6.5,costillas
costillas_con_papa_y_arroz,Costillas con papa y arroz,44.1,166.0,5.7,8.3,costillas
costillas_norteno_con_frejoles,Costillas norteño con frejoles y arroz,34.4,152.0,3.3,8.0,costillas
crema_de_arveja,Crema de arveja,12.63,39.75,0.75,2.35,crema
crema_de_ocopa,Crema de ocopa,71.0,109.0,3.6,3.1,crema
crema_de_pimiento,Crema de pimiento,74.7,113.5,4.05,4.05,crema
crema_de_rocoto,Crema de rocoto,68.93,126.25,4.8,3.48,crema
crema_de_verdura,Crema de verdura,17.0,24.33,1.1,0.87,crema
crema_de_zapallo,Crema de zapallo,28.15,24.0,1.15,0.6,crema
croquetas,Croquetas,25.2,175.0,11.6,4.2,croquetas
encebollado_de_higado_con_frej,Encebollado de hígado con frejoles y arroz,47.3,161.0,6.2,8.8,encebollado
ensalada,Ensalada,82.9,77.8,6.5,1.42,ensalada
ensalada_cesar,Ensalada cesar,84.1,76.0,4.8,4.7,ensalada
ensalada_de_atun,Ensalada de atún,79.3,82.0,1.3,3.9,ensalada
ensalada_de_cocona,Ensalada de cocona,84.9,45.0,0.4,1.2,ensalada
ensalada_de_fideos,Ensalada de fideos,41.4,273.0,11.4,5.9,ensalada
ensalada_de_lechuga,Ensalada de lechuga,90.6,62.0,5.7,0.6,ensalada
ensalada_de_verduras,Ensalada de verduras,81.66,82.4,6.8,1.36,ensalada
ensalada_rusa,Ensalada rusa,65.7,60.0,2.7,1.55,ensalada
ensalada_rusa_con_pollo_a_la_b,Ensalada rusa con pollo a la brasa y arroz,45.1,146.0,3.4,8.8,ensalada
ensalada_rusa_con_pollo_al_hor,Ensalada rusa con pollo al horno y arroz,48.85,131.0,2.35,8.45,ensalada
ensalada_rusa_con_pollo_broast,Ensalada rusa con pollo broaster y arroz,49.9,157.0,4.9,8.8,ensalada
ensalada_rusa_con_pollo_frito_,Ensalada rusa con pollo frito y arroz,49.55,155.5,5.5,7.15,ensalada
escabeche_de_pescado_con_arroz,Escabeche de pescado con arroz,35.97,189.0,7.7,6.63,escabeche
escabeche_de_pollo_con_arroz,Escabeche de pollo con arroz,44.0,139.0,2.42,7.0,escabeche
espesado_de_res_con_arroz,Espesado de res con arroz,37.1,212.0,2.0,6.8,espesado
estofado_de_lengua_con_arroz,Estofado de lengua con arroz,56.3,133.0,5.1,4.9,estofado
estofado_de_pavita_con_arroz_y,Estofado de pavita con arroz y ensalada,46.45,137.5,2.7,5.65,estofado
estofado_de_pollo_con_arroz,Estofado de pollo con arroz,41.28,125.25,1.48,6.45,estofado
estofado_de_pollo_con_arroz_y_,Estofado de pollo con arroz y ensalada,49.65,118.0,1.75,5.7,estofado
estofado_de_pollo_con_menestra,Estofado de pollo con menestra y arroz,32.4,145.67,1.7,7.57,estofado
estofado_de_res_con_arroz,Estofado de res con arroz,38.7,139.5,1.05,7.5,estofado
estofado_de_res_con_menestra_y,Estofado de res con menestra y arroz,26.7,126.0,1.1,6.55,estofado
fetuccini_a_lo_alfredo,Fetuccini a lo alfredo,35.7,339.0,19.9,9.9,fetuccini
filete_de_pescado_con_arroz,Filete de pescado con arroz,47.6,207.0,11.5,5.8,filete
filete_de_pescado_con_menestra,Filete de pescado con menestra y arroz,22.93,209.33,6.27,8.47,filete
filete_de_pescado_con_papas_fr,"Filete de pescado con papas fritas, sarsa criolla y arroz",38.8,138.0,1.3,5.5,filete
filete_de_pescado_en_salsa_de_,Filete de pescado en salsa de mariscos,38.1,136.0,0.8,6.4,filete
filete_de_pollo_a_la_parrilla_,"Filete de pollo a la parrilla, ensalada y arroz",40.0,162.0,2.4,8.1,filete
filete_de_pollo_con_papas_frit,Filete de pollo con papas fritas y arroz,54.95,139.0,3.85,8.05,filete
filete_de_pollo_con_papas_frit,"Filete de pollo con papas fritas, ensalada y arroz",51.0,169.0,10.2,5.5,filete
flauta_rellena,Flauta rellena,68.2,123.0,3.2,13.3,flauta
frejoles_con_asado_de_carne_y_,Frejoles con asado de carne y arroz,23.8,119.0,2.3,6.1,frejoles
frejoles_con_bisteck_y_arroz,Frejoles con bisteck y arroz,23.55,140.5,1.5,8.55,frejoles
frejoles_con_cabrito_a_la_nort,Frejoles con cabrito a la norteña y arroz,16.9,161.0,5.6,9.1,frejoles
frejoles_con_pescado_con_ensal,Frejoles con pescado con ensalada y arroz,29.5,205.0,9.5,6.87,frejoles
frejoles_con_pescado_y_arroz,Frejoles con pescado y arroz,21.77,163.67,5.37,6.97,frejoles
frejoles_con_pollo_a_la_norten,Frejoles con pollo a la norteña y arroz,23.1,114.0,1.9,7.0,frejoles
frejoles_con_pollo_al_vino,Frejoles con pollo al vino,25.4,158.0,2.2,4.1,frejoles
frejoles_con_seco_a_la_nortena,Frejoles con seco a la norteña y arroz,23.5,125.25,1.4,7.93,frejoles
frejoles_con_seco_y_arroz,Frejoles con seco y arroz,22.85,176.5,2.7,7.9,frejoles
frejoles_con_seco_ensalada_y_a,"Frejoles con seco, ensalada y arroz",21.43,153.0,4.33,7.7,frejoles
garbanzo_con_arroz_y_chuleta_f,Garbanzo con arroz y chuleta frita,16.9,193.0,3.8,8.3,garbanzo
garbanzo_con_chuleta_y_arroz,Garbanzo con chuleta y arroz,24.8,174.0,4.6,6.9,garbanzo
garbanzo_con_churrasco_ensalad,"Garbanzo con churrasco, ensalada y arroz",29.4,141.0,3.3,6.0,garbanzo
garbanzo_con_pescado_y_arroz,Garbanzo con pescado y arroz,29.15,137.0,3.05,6.7,garbanzo
garbanzo_con_pollo_y_arroz,Garbanzo con pollo y arroz,34.0,130.0,3.5,5.8,garbanzo
guiso_de_caigua_con_arroz,Guiso de caigua con arroz,27.7,136.0,2.0,6.7,guiso
guiso_de_habas_con_churrasco_y,Guiso de habas con churrasco y arroz,24.3,173.0,1.2,5.2,guiso
guiso_de_quinua_con_pescado_y_,Guiso de quinua con pescado y arroz,14.9,179.0,8.2,4.8,guiso
guiso_de_trigo_con_lomo_de_soc,Guiso de trigo con lomo de socona y arroz,24.9,78.0,1.0,2.5,guiso
guiso_de_trigo_con_pollo_y_arr,Guiso de trigo con pollo y arroz,32.0,109.0,1.9,6.4,guiso
guiso_de_vainita_con_pollo_y_a,Guiso de vainita con pollo y arroz,54.5,95.0,0.7,4.3,guiso
higado_encebollado_con_arroz,Hígado encebollado con arroz,57.9,108.0,1.7,3.9,higado
higado_frito_con_arroz,Hígado frito con arroz,37.0,174.0,5.1,5.4,higado
huevitos_en_salsa_golf,Huevitos en salsa golf,74.3,129.5,9.05,1.7,huevitos
huevo_a_la_rusa,Huevo a la rusa,63.93,94.33,4.6,3.57,huevo
hummus,Hummus,7.8,212.0,3.9,7.0,hummus
jalea_con_yuca_frita,Jalea con yuca frita,34.5,210.0,13.3,10.4,jalea
jalea_de_pescado_con_arroz,Jalea de pescado con arroz,37.55,108.5,2.8,4.95,jalea
jalea_de_pescado_con_yuca_frit,Jalea de pescado con yuca frita,37.05,189.5,9.55,6.8,jalea
jalea_mixta,Jalea mixta,65.3,177.0,9.3,9.5,jalea
jalea_mixta_con_yuca_frita,Jalea mixta con yuca frita,58.5,234.0,16.3,8.3,jalea
kam_lu_wantan_con_arroz_chaufa,Kam lu wantán con arroz chaufa,40.93,149.33,5.7,6.03,kam
lasagna_de_res,Lasagna de res,32.35,297.5,13.2,13.2,lasagna
lenteja_con_adobo_y_arroz,Lenteja con adobo y arroz,14.2,128.0,0.3,7.5,lenteja
lenteja_con_bisteck_y_arroz,Lenteja con bisteck y arroz,16.0,183.0,1.2,9.9,lenteja
lenteja_con_chuleta_y_arroz,Lenteja con chuleta y arroz,25.53,150.33,2.9,8.03,lenteja
lenteja_con_estofado_y_arroz,Lenteja con estofado y arroz,33.13,133.33,1.87,7.93,lenteja
lenteja_con_filete_de_pechuga_,Lenteja con filete de pechuga y arroz,28.05,139.5,5.4,8.45,lenteja
lenteja_con_higado_y_arroz,Lenteja con hígado y arroz,22.0,179.0,2.4,8.8,lenteja
lenteja_con_lomito_y_arroz,Lenteja con lomito y arroz,20.1,137.0,1.5,7.2,lenteja
lenteja_con_milanesa_y_arroz,Lenteja con milanesa y arroz,22.65,154.5,2.15,9.35,lenteja
lenteja_con_pescado_y_arroz,Lenteja con pescado y arroz,24.85,162.25,4.25,7.08,lenteja
locro_con_higado_frito_y_arroz,Locro con hígado frito y arroz,54.4,134.0,5.6,3.1,locro
locro_de_zapallo_con_bisteck_y,Locro de zapallo con bisteck y arroz,50.35,116.5,3.15,4.1,locro
locro_de_zapallo_con_filete_de,Locro de zapallo con filete de pollo y arroz,44.2,133.5,2.8,5.85,locro
lomito_de_atun_con_arroz,Lomito de atún con arroz,36.7,162.0,3.55,4.6,lomito
lomo_a_lo_strogonof_y_arroz,Lomo a lo strogonof y arroz,61.3,149.0,1.9,9.3,lomo
lomo_al_jugo_con_menestra_y_ar,Lomo al jugo con menestra y arroz,27.25,111.5,1.35,5.0,lomo
lomo_saltado_con_arroz,Lomo saltado con arroz,42.88,165.6,6.64,5.32,lomo
lomo_saltado_con_menestra_y_ar,Lomo saltado con menestra y arroz,27.2,159.0,4.6,6.0,lomo
macarrones_con_pollo,Macarrones con pollo,42.63,145.25,3.15,7.8,macarrones
macarrones_con_res,Macarrones con res,36.2,174.0,2.3,6.4,macarrones
malaya_dorada_con_arroz,Malaya dorada con arroz,29.4,149.0,0.9,6.6,malaya
menestron_con_pollo,Menestrón con pollo,25.4,85.0,1.25,4.25,menestron
menestron_con_res,Menestrón con res,21.88,45.0,0.38,2.26,menestron
milanesa_con_arroz,Milanesa con arroz,47.4,175.0,7.3,5.4,milanesa
ocopa_a_la_arequipena,Ocopa a la arequipeña,67.26,125.4,4.64,3.82,ocopa
palta_rellena,Palta rellena,72.13,137.67,9.53,3.33,palta
pan_al_ajo,Pan al ajo,48.97,226.33,14.13,3.4,pan
papa_a_la_huancaina,Papa a la huancaína,68.34,118.4,3.9,3.52,papa
papa_con_huevo,Papa con huevo,65.9,116.0,7.1,6.3,papa
papa_rellena,Papa rellena,68.58,161.75,9.73,4.2,papa
papa_rellena_con_ensalada,Papa rellena con ensalada,71.9,135.0,6.0,3.3,papa
papa_rellena_con_sarsa_criolla,Papa rellena con sarsa criolla,68.7,160.0,9.6,3.9,papa
papas_a_la_rioja,Papas a la rioja,51.7,60.0,1.7,2.5,papas
papas_fritas,Papas fritas,49.6,359.0,33.4,1.4,papas
parihuela,Parihuela,50.2,67.33,3.23,4.83,parihuela
pasta_al_pesto,Pasta al pesto,36.4,115.0,1.8,5.8,pasta
pasta_otros,Pasta otros,41.6,119.0,3.0,8.6,pasta
pastel_de_papa,Pastel de papa,70.4,138.0,6.1,6.2,pastel
patasca,Patasca,14.63,74.25,2.6,3.8,patasca
patita_con_mani_y_arroz,Patita con maní y arroz,38.3,134.0,1.7,4.1,patita
